Temperatura,Horas_Operacion,Carga,Humedad,Consumo_Energia
23.5,3.6,69.0,88.6,20.23
29.2,2.4,97.5,74.5,23.87
32.4,4.2,68.8,45.8,24.17
27.4,11.2,85.6,76.6,37.11
32.5,11.9,76.2,81.6,41.34
24.5,10.0,78.5,62.5,35.51
23.4,6.6,67.9,75.2,26.55
24.0,9.1,83.2,85.6,30.83
20.9,10.2,64.9,89.9,32.52
32.1,5.6,86.3,67.5,29.06
23.8,3.8,50.5,71.3,22.22
27.4,3.6,33.1,59.7,20.7
27.8,7.7,40.7,77.4,24.74
26.9,2.6,56.4,53.6,16.69
18.0,11.9,91.7,58.0,39.81
34.8,6.5,91.5,73.0,28.11
33.4,4.3,54.2,81.5,23.71
21.5,7.2,59.7,86.5,29.43
23.0,4.5,68.4,47.4,21.99
26.8,8.2,76.6,84.2,30.14
33.3,10.2,60.7,78.5,31.96
34.7,6.2,79.4,45.2,27.47
22.4,9.4,66.5,78.7,28.64
27.6,7.9,41.9,48.2,27.65
31.7,3.7,89.0,74.1,20.14
24.7,4.1,58.4,51.9,22.96
30.4,7.4,37.1,57.1,24.67
20.7,10.5,46.1,54.3,33.35
28.2,6.4,62.6,53.7,19.74
32.7,8.3,68.1,59.4,31.78
34.7,9.6,93.1,78.3,32.68
19.3,10.0,53.3,89.2,29.81
25.3,8.5,91.4,74.4,32.44
21.5,9.8,39.5,49.6,26.84
25.7,8.1,43.7,89.2,27.6
27.3,11.2,42.9,59.8,32.04
19.6,5.4,71.2,73.4,23.12
23.0,10.4,68.7,55.6,32.96
33.8,8.5,51.8,60.3,26.31
27.7,7.7,85.3,72.9,29.05
25.8,9.2,70.5,79.8,29.69
30.8,2.2,77.8,51.3,17.15
30.6,9.8,49.1,41.4,28.92
18.8,4.3,70.7,66.9,24.33
30.0,3.5,88.0,53.6,20.83
32.3,8.6,57.2,71.0,24.7
20.8,11.0,91.9,45.4,31.11
31.3,7.5,47.7,87.0,23.11
22.9,4.3,96.7,56.7,25.25
23.2,9.4,75.8,69.4,29.58
29.3,11.0,91.1,79.0,39.17
19.9,9.3,57.9,76.9,32.72
29.3,10.1,59.0,63.3,30.12
33.1,11.4,71.6,42.1,34.23
29.8,7.2,32.5,68.7,26.12
25.5,11.0,97.0,62.9,36.08
25.4,10.0,93.0,47.9,33.99
31.0,5.5,54.5,61.4,24.86
27.6,5.3,54.8,59.4,18.27
19.4,4.1,82.4,42.7,18.37
27.9,8.7,56.2,80.5,25.88
31.9,10.8,65.7,81.3,34.16
23.7,2.8,76.5,84.6,20.52
33.8,7.8,62.4,77.6,27.7
30.8,9.0,51.5,85.4,31.22
27.8,10.2,64.9,79.2,29.75
30.8,7.6,62.0,44.7,25.5
19.3,8.6,93.3,87.7,30.2
32.6,7.2,83.3,68.4,30.4
32.0,3.9,90.3,57.8,28.55
33.5,2.7,96.5,66.9,21.87
20.2,4.6,94.7,45.1,25.8
19.4,10.1,90.5,50.4,32.03
20.4,3.2,31.2,75.3,17.98
24.8,2.7,36.8,57.7,17.52
25.2,4.2,72.9,40.2,25.62
27.6,4.9,66.0,53.7,19.68
20.1,6.0,46.9,58.4,21.76
21.4,10.3,48.9,69.4,28.28
31.8,8.2,82.9,62.9,32.1
26.0,9.5,80.0,69.8,29.97
31.7,10.9,40.8,70.0,32.86
18.1,9.7,52.0,83.2,28.09
27.4,4.6,99.4,54.6,29.77
33.8,7.5,69.5,42.0,31.38
27.9,6.5,69.9,82.4,26.41
21.5,10.2,94.9,83.4,33.95
30.2,4.5,88.4,49.0,24.9
24.4,8.1,77.2,41.7,29.54
29.4,2.4,44.4,59.1,18.44
18.5,5.2,95.7,75.0,24.04
28.8,6.7,77.3,62.9,31.59
18.5,4.1,32.6,45.3,16.04
30.7,8.7,59.3,83.8,28.46
26.0,5.7,52.5,40.3,20.52
20.1,3.9,80.7,62.4,23.37
27.2,10.7,81.7,85.4,32.44
19.1,4.0,68.1,61.8,19.83
29.1,7.8,97.0,53.2,31.68
34.9,6.9,64.7,64.8,24.14
31.1,6.4,53.8,79.2,26.34
27.8,4.4,81.5,61.5,22.06
19.7,10.2,50.9,84.5,34.91
29.9,8.4,48.4,85.1,27.6
29.2,10.0,62.8,57.2,29.45
18.8,9.3,76.6,90.0,28.39
31.5,9.6,33.3,77.5,27.35
26.8,3.9,69.4,87.2,20.5
25.2,8.1,34.0,89.7,23.21
31.4,9.9,98.3,47.2,34.1
25.0,7.0,42.5,51.5,24.06
26.2,8.2,93.1,71.5,27.81
21.1,4.7,51.5,82.1,20.74
23.5,6.6,39.6,85.6,21.78
32.4,10.4,71.5,73.1,34.21
21.2,4.1,88.4,61.7,22.22
25.1,9.1,45.3,77.5,24.2
34.8,8.4,89.3,88.7,31.67
22.0,2.8,78.9,46.6,22.62
33.6,8.6,90.9,55.2,35.53
33.6,6.6,72.0,81.9,26.75
19.6,3.8,45.0,65.9,17.78
25.9,6.3,79.4,75.0,28.55
26.5,3.3,49.2,46.6,13.93
23.3,11.5,36.5,45.6,29.25
18.8,11.7,64.8,73.2,32.07
22.1,6.3,41.8,84.1,23.64
19.6,4.1,77.4,75.5,18.99
22.1,10.0,46.9,63.8,26.96
31.7,5.2,69.4,53.5,22.8
33.2,5.6,44.5,41.5,20.87
18.7,6.0,94.3,59.0,23.45
23.1,9.2,93.4,46.2,32.68
34.7,8.1,81.1,63.9,33.08
27.2,11.9,49.7,69.3,35.7
28.6,10.4,49.9,88.9,31.88
18.1,11.7,48.9,49.7,35.24
26.2,9.7,52.6,70.4,32.99
34.8,6.2,33.0,55.0,17.64
24.4,11.2,70.7,45.1,31.53
19.6,6.0,70.3,85.6,23.41
25.9,3.0,36.9,85.0,19.27
34.4,4.2,69.0,69.2,22.34
23.8,11.8,44.1,49.3,32.12
31.6,3.8,70.3,87.9,22.89
31.6,6.0,67.9,41.1,21.76
21.5,10.3,48.1,89.0,26.05
25.5,7.0,48.3,43.7,25.83
30.2,8.5,73.6,58.9,27.49
25.0,10.7,58.1,62.0,31.61
21.2,3.1,92.5,50.7,20.76
34.4,6.8,97.8,55.1,27.29
29.1,5.2,98.7,85.6,27.36
32.7,8.3,40.1,42.4,29.07
18.4,7.0,89.7,68.5,25.68
22.5,5.4,38.9,70.2,15.21
26.5,4.0,33.0,60.7,20.25
19.1,3.4,31.9,89.3,17.02
34.9,9.4,91.2,47.8,35.5
22.0,10.3,35.1,79.5,30.13
24.4,9.8,70.2,57.2,30.0
21.6,8.7,70.7,83.7,28.57
19.8,8.3,79.0,87.7,29.8
22.0,6.1,59.8,59.5,24.03
23.1,8.4,49.3,59.0,26.38
28.8,3.2,62.8,47.9,21.25
22.8,7.7,69.0,48.9,22.45
24.2,7.8,50.9,48.5,21.91
18.1,7.0,45.0,68.6,21.11
24.2,10.0,99.1,84.6,36.15
27.1,5.7,73.6,44.6,23.43
20.8,5.2,50.3,86.2,23.01
28.2,3.1,75.3,65.7,18.7
23.0,5.2,70.8,65.5,24.3
28.7,5.6,40.9,77.5,25.64
18.4,2.9,52.8,42.4,15.27
33.1,9.4,30.4,66.3,29.73
18.3,2.3,83.8,79.2,23.12
20.2,11.1,60.9,55.4,30.76
31.2,3.0,35.3,52.1,12.96
18.8,4.3,57.4,44.9,20.11
30.1,3.7,34.7,75.1,21.06
34.5,8.4,60.8,68.6,26.11
32.8,11.9,89.7,84.9,36.68
30.1,10.3,66.1,85.9,31.22
34.3,2.7,36.2,69.4,21.52
25.3,3.1,64.4,77.2,18.41
32.8,7.4,40.6,41.4,22.4
24.1,9.8,55.5,40.4,29.09
33.8,9.1,82.8,81.3,31.28
20.5,7.1,88.9,60.6,28.63
34.0,2.3,34.1,57.0,15.82
32.2,11.9,58.9,51.2,28.5
32.4,9.6,36.7,82.9,34.42
20.1,8.1,64.8,54.4,29.62
28.1,9.1,76.4,59.8,31.2
18.3,8.0,74.4,68.0,29.73
30.3,9.0,45.3,40.2,25.58
18.1,5.3,82.3,81.5,25.23
19.4,10.1,72.2,80.4,30.56
21.8,2.7,42.1,49.1,15.72
32.9,6.8,70.7,54.7,30.2
24.2,11.6,99.9,61.8,35.68
27.2,7.7,73.1,66.9,31.14
27.7,4.2,59.4,51.3,24.46
21.8,7.4,44.0,61.7,20.52
27.7,4.5,54.1,43.0,18.17
29.2,5.3,81.2,44.3,27.76
23.1,2.0,39.5,59.3,10.0
25.1,10.9,82.4,51.8,31.32
25.7,3.3,83.9,55.8,24.23
33.8,9.9,70.3,74.6,32.47
28.0,9.5,35.8,52.9,29.28
34.1,2.2,76.2,45.2,15.35
27.5,2.2,74.6,52.7,15.44
26.5,5.4,66.9,48.8,21.28
18.1,5.3,86.7,86.5,26.0
26.2,7.2,40.9,46.1,25.59
33.8,3.2,80.5,55.2,21.47
21.4,7.4,80.1,85.0,28.85
18.9,9.8,78.0,75.3,31.15
24.9,9.6,91.1,64.3,36.19
24.3,10.2,73.9,61.4,29.99
32.6,8.9,76.1,72.1,28.57
18.5,4.9,87.3,41.6,26.78
33.6,10.3,42.6,40.6,29.24
29.6,8.2,40.8,54.3,24.58
33.4,4.7,86.9,81.6,28.98
28.3,5.7,69.4,67.7,25.81
31.8,7.2,55.2,68.6,28.12
23.7,2.3,38.7,69.9,12.95
23.9,10.7,37.5,57.4,30.26
24.6,6.0,86.4,42.6,26.06
30.8,5.7,35.9,49.4,20.17
24.3,3.9,47.6,76.6,20.55
22.1,6.8,37.8,62.2,23.68
33.9,4.4,38.9,73.7,20.65
33.4,10.3,74.5,68.9,36.51
23.9,12.0,84.5,64.3,36.56
28.8,5.5,71.4,40.6,28.28
22.7,3.5,88.7,51.8,21.74
21.5,2.6,69.4,71.9,15.76
23.7,7.7,78.6,89.9,32.17
23.6,9.5,30.2,58.9,28.54
33.0,11.0,83.4,83.0,38.61
32.0,2.6,42.4,77.9,22.31
30.1,11.5,53.1,61.5,33.5
34.3,5.6,64.7,64.1,25.74
25.2,2.6,37.0,83.1,20.35
22.2,3.0,86.1,68.4,23.9
20.0,9.0,88.2,65.6,29.41
23.1,5.7,38.3,89.3,21.66
20.5,7.9,64.1,88.4,28.59
19.6,10.6,90.1,77.8,32.75
28.2,6.3,51.2,87.3,20.73
24.2,7.9,95.0,68.1,29.62
27.6,10.7,39.2,46.5,30.23
21.3,11.9,36.2,41.5,32.43
29.5,9.5,39.9,51.2,30.68
21.7,8.6,42.4,53.1,25.53
22.7,5.6,46.8,79.2,19.79
30.6,11.5,38.0,65.6,29.86
27.5,7.6,89.8,88.7,30.69
23.7,5.9,97.3,40.7,29.69
27.2,6.2,43.6,49.7,19.4
29.8,2.3,45.5,53.1,16.47
33.5,9.2,68.6,67.8,32.52
27.9,9.2,63.5,75.5,31.95
22.0,5.2,76.7,89.6,23.99
30.7,4.9,36.4,71.4,22.08
31.2,9.7,63.2,70.6,29.77
21.4,4.2,41.3,56.8,18.72
31.9,8.5,95.3,85.2,31.92
25.9,10.2,86.9,69.1,30.79
31.3,5.5,50.2,59.5,20.28
22.0,2.5,45.0,50.3,21.26
23.7,5.6,74.9,66.8,27.99
34.2,8.8,36.1,76.4,25.65
29.2,6.4,33.9,48.9,23.61
31.1,11.2,46.3,89.5,34.38
29.7,7.2,80.2,76.6,27.86
21.5,11.7,58.4,60.3,33.06
26.0,8.6,50.8,59.7,29.96
31.8,10.2,66.0,65.8,33.17
29.5,8.4,78.8,49.5,29.58
18.1,7.0,67.8,82.5,22.91
19.5,7.7,92.8,74.5,32.58
23.9,10.2,81.3,74.3,32.5
34.1,7.6,95.4,73.1,33.34
26.4,11.2,31.0,74.4,33.05
22.6,5.0,93.1,78.7,22.67
24.1,6.2,51.7,78.5,23.19
21.6,6.7,84.8,74.0,21.81
25.2,8.6,98.4,46.9,32.57
21.7,9.8,32.4,69.8,22.45
32.4,8.3,99.0,63.9,30.68
25.8,10.7,71.5,49.7,30.22
22.8,11.7,91.4,60.2,36.76
33.9,2.4,75.3,61.3,19.02
23.3,2.0,75.5,58.7,18.93
33.5,4.5,40.4,58.2,16.44
18.7,3.1,78.3,47.1,20.62
30.0,10.1,80.5,48.7,34.7
26.2,10.1,36.8,49.0,27.85
25.6,3.2,36.1,52.6,15.69
18.6,7.1,60.7,85.2,23.65
18.7,11.2,52.1,80.9,32.75
23.7,3.4,89.4,89.3,20.71
34.1,8.5,76.0,83.0,30.38
28.5,9.5,42.4,64.5,26.59
24.3,11.1,43.8,58.7,32.37
28.4,7.9,51.2,43.4,25.14
21.5,7.0,69.8,78.0,23.34
20.8,6.6,65.2,58.5,25.39
24.2,5.2,63.5,81.6,22.64
32.7,6.6,32.2,81.9,21.86
26.7,3.8,67.9,69.7,20.44
23.0,8.8,31.4,48.2,25.04
34.2,4.1,61.1,88.7,22.28
31.9,2.5,44.5,42.6,19.4
23.5,6.7,51.3,55.3,23.16
34.5,10.0,75.7,75.8,35.23
34.8,4.3,57.7,49.6,17.91
24.9,10.1,71.4,56.9,35.45
29.2,9.2,81.6,59.5,33.58
24.9,8.3,80.3,50.1,28.34
22.4,7.9,67.8,89.4,26.93
19.4,4.7,90.8,71.6,25.94
22.5,6.8,92.3,52.7,23.86
22.6,4.5,76.9,82.6,20.25
24.8,3.5,35.4,56.5,13.73
21.1,7.8,37.8,40.1,22.11
34.2,9.7,72.8,63.1,31.49
19.7,6.4,46.3,72.4,21.44
28.6,9.4,96.7,47.1,33.74
25.5,9.0,46.2,80.6,24.42
25.2,6.5,65.3,52.9,26.22
24.3,9.5,35.4,61.5,25.03
32.8,5.2,72.4,86.6,26.01
22.8,10.0,83.3,65.0,34.16
18.3,5.3,78.9,42.1,23.5
33.6,8.8,57.7,85.0,31.16
32.7,8.8,54.3,74.8,30.67
22.7,6.2,48.7,84.9,19.89
26.9,9.1,50.6,61.3,26.74
19.9,10.9,84.4,84.0,35.01
19.6,2.7,83.9,47.7,22.63
32.2,5.0,85.1,79.5,29.19
25.0,3.2,95.8,82.7,25.18
29.2,3.8,70.7,76.6,24.05
34.0,3.9,41.0,79.9,19.9
22.2,11.6,48.3,68.8,33.47
18.2,9.0,60.9,59.9,26.67
18.4,7.8,30.4,73.0,23.59
30.1,7.9,55.0,41.1,25.58
33.7,2.9,60.3,73.1,23.85
25.9,5.7,34.5,54.2,22.13
24.4,10.9,85.9,79.9,38.16
27.2,2.1,77.6,50.9,19.28
32.6,2.2,80.9,60.3,21.49
29.1,4.7,35.6,49.2,16.49
22.0,8.3,68.9,66.0,30.74
31.2,10.7,66.6,69.2,32.48
20.3,2.3,68.9,75.9,15.29
20.8,7.2,71.9,47.7,25.32
28.4,8.3,47.8,78.3,27.98
22.1,2.6,81.6,59.7,19.45
30.0,6.7,62.2,73.7,28.64
23.9,11.0,44.0,48.8,33.01
22.7,5.6,75.5,54.5,26.1
35.0,6.6,53.5,47.7,27.1
18.7,7.7,54.6,56.3,27.43
29.0,3.4,47.6,87.3,21.7
18.7,6.7,66.8,51.2,22.19
30.9,7.3,64.1,48.9,28.32
21.9,3.6,59.9,46.9,21.3
19.5,9.5,58.2,75.9,28.61
29.0,3.2,42.6,70.6,15.45
30.5,4.4,64.4,77.9,21.77
29.5,8.5,54.0,63.8,26.71
18.9,4.9,71.0,74.5,22.53
23.0,2.9,30.4,83.4,11.65
25.7,6.8,39.8,73.8,22.83
22.9,5.5,65.3,70.1,21.28
31.8,6.4,64.4,52.5,28.57
20.2,3.8,51.1,41.2,14.86
28.4,11.7,60.1,87.5,33.84
34.8,3.4,67.3,49.2,19.05
33.3,4.9,58.7,87.5,22.75
21.8,6.9,65.0,46.1,27.43
18.0,11.2,44.3,84.3,32.25
34.7,2.9,85.1,86.6,21.1
33.0,8.2,43.2,76.6,26.4
33.6,3.7,64.4,58.1,20.71
25.1,8.5,77.1,78.8,30.07
30.7,7.7,81.8,80.1,31.03
21.6,10.1,56.4,84.6,29.68
24.7,2.4,77.1,41.8,21.13
32.5,3.2,65.5,78.8,22.08
20.2,9.1,65.1,82.8,29.34
33.2,4.2,44.3,76.9,17.05
26.4,2.0,36.3,78.1,14.94
25.2,10.8,37.4,40.8,28.61
23.2,11.7,43.1,88.6,31.3
33.6,4.8,63.2,61.5,21.07
26.8,5.4,44.9,74.9,18.72
31.7,5.1,44.5,57.8,19.3
32.6,8.5,54.5,59.4,26.08
33.7,6.3,82.1,68.5,27.59
23.2,2.8,90.2,44.8,19.08
23.8,8.3,48.1,44.1,27.41
28.1,9.7,31.0,57.1,26.94
25.5,11.4,62.2,57.9,33.62
33.9,6.0,49.4,68.9,26.16
24.8,2.8,62.0,66.2,15.98
26.1,3.8,62.8,59.3,19.71
28.5,6.7,88.7,71.0,28.97
24.9,8.9,33.1,78.0,28.93
34.9,8.6,99.9,47.5,32.67
19.7,9.9,36.3,45.1,26.01
21.8,7.4,86.6,41.9,30.1
23.5,10.4,80.7,41.1,31.03
20.5,4.2,44.6,87.8,19.54
22.8,5.1,51.5,57.0,19.87
31.2,3.2,96.7,68.9,24.33
26.9,6.3,68.8,86.7,27.49
18.6,7.6,65.9,78.4,24.64
34.7,6.6,71.4,53.5,29.8
28.5,5.2,98.5,67.2,27.2
19.0,3.6,53.1,53.3,21.03
29.2,9.2,70.6,45.8,30.81
24.4,7.2,72.2,78.6,27.97
20.3,9.5,43.4,74.2,29.32
27.6,8.2,97.9,82.9,32.26
30.4,7.9,57.4,57.9,27.31
29.4,11.9,57.6,61.8,33.19
22.2,10.3,93.7,76.9,33.64
26.9,7.6,82.7,89.5,30.45
27.1,4.9,55.5,73.0,16.41
30.2,3.9,47.6,43.1,17.63
24.1,11.6,30.4,86.1,30.49
31.6,11.9,49.8,58.6,31.61
28.7,11.3,40.1,75.4,28.46
18.7,3.5,46.9,77.3,16.89
27.3,9.1,97.1,54.5,30.3
32.7,8.4,44.6,47.3,23.41
27.6,6.1,30.8,73.2,23.83
21.0,4.4,44.6,73.1,21.83
26.7,10.3,73.5,79.4,31.63
30.9,9.7,92.2,73.3,34.67
19.9,8.6,57.8,74.3,25.62
31.9,8.3,88.9,67.7,28.51
20.8,10.3,73.8,64.6,34.24
27.1,5.8,38.4,68.3,22.61
24.6,9.4,69.8,60.3,29.43
22.2,5.0,71.1,66.6,21.75
29.0,11.4,50.3,87.5,32.19
18.6,5.3,69.7,62.2,20.42
30.9,9.6,94.8,68.4,33.08
27.0,9.3,44.2,61.3,29.98
32.9,10.1,94.4,84.0,37.79
26.9,10.5,99.6,61.4,34.49
18.6,8.1,48.0,63.3,27.86
20.4,4.0,43.4,61.2,17.97
31.5,4.4,30.2,65.2,19.17
26.4,3.6,69.0,82.5,19.47
25.5,9.5,50.2,78.1,27.47
23.4,7.6,98.1,81.9,27.82
22.8,6.7,68.7,86.4,25.82
34.4,10.9,66.3,82.5,32.83
25.4,2.8,50.7,41.2,17.75
33.0,5.9,40.4,76.3,25.48
29.0,3.4,41.6,71.1,16.4
32.6,2.0,91.6,65.3,23.94
32.5,5.7,78.8,79.5,28.65
34.3,7.0,30.4,78.3,25.62
29.9,2.6,83.3,73.0,20.06
31.7,6.2,86.0,58.1,26.99
30.5,4.2,80.6,63.3,25.32
28.3,6.7,40.6,65.7,21.13
30.2,9.6,59.8,72.9,31.45
30.2,6.3,71.6,87.4,24.33
18.7,3.4,94.0,74.6,24.19
26.8,7.6,95.0,61.2,28.3
31.5,3.3,53.2,79.3,19.98
22.1,10.5,32.6,49.4,27.93
25.9,8.3,97.2,51.2,28.83
25.4,2.5,96.3,88.2,21.31
24.8,7.2,68.9,61.9,27.62
20.1,6.8,80.5,48.6,21.7
26.9,10.4,48.2,76.5,29.76
25.6,10.4,60.5,55.1,29.39
29.3,9.3,45.0,84.5,32.11
27.3,10.2,47.3,46.7,28.94
18.5,8.1,52.9,50.9,27.92
18.5,7.9,49.7,68.8,23.66
29.9,5.5,59.8,41.3,21.6
30.0,6.4,97.9,45.3,29.34
34.3,7.6,58.8,84.4,26.42
32.9,6.6,38.0,68.0,24.62
26.0,8.7,38.0,55.8,24.48
28.6,5.8,72.9,49.4,29.0
25.8,8.9,75.5,87.2,29.12
21.8,5.4,38.5,55.8,19.49
24.4,7.6,39.8,77.8,22.72
19.8,10.2,79.7,67.1,30.93
29.3,9.8,95.8,78.8,34.54
21.3,5.4,61.9,57.1,21.83
26.1,9.4,44.9,78.4,27.05
34.4,6.2,72.2,69.0,27.87
18.5,2.7,35.4,84.7,16.76
20.6,2.4,54.0,83.0,15.45
23.1,10.8,45.2,63.4,31.33
34.0,3.2,47.7,86.3,20.91
33.5,9.6,69.5,84.0,37.6
20.8,5.9,61.9,59.2,26.39
34.7,4.2,87.9,41.8,26.36
30.8,4.4,64.1,44.1,19.58
27.2,7.1,59.0,76.7,27.44
33.8,11.4,65.4,74.5,30.19
33.0,7.6,76.5,50.0,28.9
24.7,7.1,67.2,60.9,22.82
29.2,5.6,32.2,84.8,20.78
29.0,3.3,64.4,66.6,18.74
23.6,3.3,30.3,63.4,16.6
21.0,7.5,82.4,43.8,29.97
25.9,6.0,49.5,59.6,18.6
22.5,5.2,36.2,73.1,21.01
24.0,4.3,58.3,44.4,21.8
34.2,9.8,83.6,73.9,32.58
25.8,11.9,32.4,60.6,29.06
29.6,4.8,47.8,42.0,20.8
23.7,9.4,73.6,53.2,30.3
34.9,3.6,44.1,71.9,19.35
29.2,9.1,57.2,76.5,28.36
21.3,4.7,75.0,66.0,22.22
19.7,10.8,63.6,68.3,32.11
34.0,3.4,72.8,76.0,26.78
34.1,7.3,68.6,63.6,29.86
28.6,8.9,84.5,65.1,30.91
18.3,3.4,76.1,65.0,16.88
21.8,9.2,90.5,61.3,34.23
31.6,11.0,54.8,62.1,33.65
32.9,9.3,64.4,64.4,33.43
25.7,5.4,35.4,79.3,23.77
24.2,4.9,36.9,80.9,18.75
22.7,2.1,65.3,43.2,13.41
20.0,9.0,60.8,75.0,29.6
20.0,11.7,94.6,77.1,37.06
34.2,10.5,54.1,57.8,32.98
31.7,3.2,59.5,58.2,22.38
20.8,10.4,51.6,85.9,32.4
21.5,8.1,89.7,52.9,31.44
29.1,2.9,60.4,56.1,20.15
31.0,8.6,76.5,83.1,32.58
31.8,2.7,30.8,74.6,18.52
20.8,2.3,99.0,44.7,20.44
34.7,9.3,81.5,67.1,32.16
21.9,10.2,51.1,61.9,27.76
28.0,5.6,74.2,46.9,21.11
28.0,3.2,75.5,86.3,20.55
34.4,6.3,40.7,63.0,25.5
29.2,7.7,32.1,87.2,29.04
27.9,7.5,95.4,88.5,29.31
26.8,9.1,88.5,72.8,34.36
31.0,10.5,89.2,45.5,34.32
19.8,11.8,70.8,66.3,33.88
18.0,6.7,83.2,69.9,27.63
34.2,5.0,35.9,86.3,19.5
26.5,5.2,37.7,42.9,22.89
23.6,4.1,96.7,52.9,22.73
24.3,8.4,91.5,51.7,29.41
31.7,6.3,83.4,52.6,23.65
24.5,8.7,81.3,50.6,30.33
31.1,4.1,45.1,84.0,20.21
25.5,8.3,59.1,74.3,29.17
32.3,10.9,66.4,75.3,34.19
19.3,10.5,77.8,40.6,32.9
26.2,11.8,46.1,74.4,33.33
25.9,6.8,48.3,60.3,22.32
22.5,3.4,50.8,41.2,18.35
34.0,4.6,71.7,40.6,23.65
33.4,10.1,60.4,75.9,28.47
25.5,6.4,56.1,64.1,24.35
19.7,9.1,67.9,46.4,30.11
21.5,8.9,72.3,46.0,28.74
22.6,8.8,58.2,62.4,27.19
26.2,2.3,89.7,69.3,19.37
23.8,8.8,83.6,61.0,31.49
31.2,8.2,91.7,73.0,28.65
26.1,4.8,93.2,86.2,24.93
32.8,2.2,88.9,85.9,25.2
